id,EAP,HPL,MWS
id02310,6.46803e-06,1.52182e-07,0.999993
id24541,0.999999,5.7883e-07,9.76365e-12
id00134,0.931053,0.0689453,1.19137e-06
id27757,0.992957,0.00704135,2.11206e-06
id04081,0.0176858,0.0136311,0.968683
id27337,0.959632,0.0403683,2.92432e-08
id24265,0.999211,0.00071025,7.90966e-05
id25917,0.0083506,0.110996,0.880654
id04951,1.0,9.26993e-09,3.30447e-09
id14549,0.999499,0.000199517,0.000301182
id22505,0.246107,0.0304016,0.723491
id24002,0.000243,0.999757,6.38465e-09
id18982,0.0917683,0.907996,0.000235291
id15181,3.79693e-05,0.999961,1.14956e-06
id21888,0.628464,1.98808e-05,0.371516
id12035,0.822873,1.41521e-08,0.177127
id17991,0.675422,4.36426e-05,0.324534
id10707,1.0,5.26921e-11,4.44855e-11
id07101,1.47091e-07,2.00604e-07,1.0
id00345,0.9117,0.0882259,7.36273e-05
id05912,0.999994,1.72312e-06,4.74536e-06
id13443,0.999999,5.63427e-07,4.49725e-09
id09248,0.078965,0.00195613,0.919079
id17542,0.0700402,2.69702e-05,0.929933
id06995,0.233878,3.98616e-07,0.766122
id25159,0.969093,1.42191e-07,0.0309065
id25729,0.999597,0.00031902,8.41024e-05
id26949,0.999685,0.000279974,3.47113e-05
id27191,0.942726,2.13736e-06,0.0572715
id07668,0.93065,3.21711e-08,0.0693501
id02230,0.00184155,0.00870095,0.989458
id15553,1.0,1.11823e-10,6.77314e-13
id25688,1.05248e-05,0.999986,3.17424e-06
id17545,0.999991,7.1753e-06,1.8933e-06
id13929,0.0126963,0.128063,0.859241
id12880,0.00476203,0.935905,0.0593329
id19282,0.946612,0.0067316,0.0466565
id14690,6.41074e-06,2.22589e-11,0.999994
id17975,6.72088e-07,0.999999,1.06018e-10
id08037,1.0,5.37606e-09,2.23566e-08
id15412,0.993549,2.7863e-09,0.00645128
id25032,0.71264,0.00537466,0.281985
id27165,1.0,1.49144e-08,1.20689e-07
id03327,0.977503,0.0224963,5.87204e-07
id18515,0.999998,1.32306e-08,1.5161e-06
id21003,0.00453977,5.59154e-06,0.995455
id23855,0.000165386,0.993648,0.00618666
id20724,0.999578,0.000188853,0.00023352
id13303,0.999805,3.14567e-06,0.000191843
id16521,9.35054e-05,0.0331628,0.966744
id20775,1.0,1.63648e-12,1.69439e-15
id13029,0.999454,7.67391e-05,0.000469281
id14660,0.999984,1.54743e-05,5.27313e-07
id11028,0.00194601,3.58329e-08,0.998054
id14180,0.999997,2.92052e-06,1.94252e-08
id25860,1.0,6.58761e-08,1.07203e-10
id11910,0.882796,5.16486e-07,0.117204
id08065,0.0220541,0.000264712,0.977681
id22674,7.1194e-09,6.13239e-12,1.0
id25018,0.969768,8.29141e-07,0.0302312
id10892,5.87327e-06,0.999994,1.68495e-08
id10217,0.0880284,0.910727,0.00124459
id12996,0.265693,9.34199e-05,0.734213
id18262,0.999999,1.98695e-08,6.15766e-07
id08606,9.26099e-07,0.999999,3.05668e-09
id17233,0.999995,2.03445e-08,4.56234e-06
id00101,0.999981,3.20544e-07,1.91069e-05
id12225,0.997842,0.00160596,0.000551567
id01364,1.57921e-05,0.999982,2.12165e-06
id24973,0.0179656,6.90755e-06,0.982027
id25363,0.999977,1.5676e-08,2.26808e-05
id10061,0.294149,0.0192919,0.686559
id17673,0.0107153,0.989162,0.000123011
id13249,0.880815,0.014798,0.104387
id10107,1.62096e-05,1.68297e-10,0.999984
id04403,1.0,6.72981e-10,1.80867e-10
id25728,0.999997,4.26289e-08,2.52829e-06
id16184,0.0448369,0.0153257,0.939837
id03438,0.170945,8.64151e-12,0.829055
id22923,0.0161041,0.983896,3.8657e-07
id08610,1.0,6.48011e-14,2.67195e-11
id25355,2.26066e-06,7.89128e-08,0.999998
id16916,0.0259694,0.973797,0.000233509
id12793,0.0339195,0.966066,1.50253e-05
id11859,0.999981,1.21606e-08,1.90598e-05
id02434,1.0,3.91536e-10,3.10062e-10
id27703,1.97599e-06,1.72833e-09,0.999998
id25212,0.998391,0.00149177,0.000116973
id11308,4.76513e-05,1.46306e-05,0.999938
id26094,0.999964,3.54195e-05,2.90844e-07
id22080,0.999995,4.69311e-06,3.50966e-10
id03545,1.0,1.50023e-07,1.31751e-07
id23725,3.90052e-05,4.13043e-05,0.99992
id12009,0.999796,0.000201056,2.58084e-06
id24241,0.999133,0.000138006,0.00072917
id03596,0.000321896,0.999678,1.21426e-07
id10749,0.0407952,0.959018,0.000187275
id22794,1.59502e-06,5.51999e-08,0.999998
id15482,0.0712822,0.00951601,0.919202
id04833,0.999855,5.88277e-05,8.6014e-05
id00397,0.34183,3.22785e-05,0.658138
id14691,0.0573102,4.92363e-06,0.942685
id05193,9.14367e-07,1.81828e-11,0.999999
id19541,1.0,4.20835e-07,2.93099e-08
id22166,3.09091e-06,1.59783e-07,0.999997
id20744,0.00106909,1.03894e-06,0.99893
id10392,5.32861e-06,4.2032e-08,0.999995
id00770,1.0,1.47915e-10,1.74654e-12
id06018,0.259841,0.739071,0.00108797
id15678,0.169949,3.78983e-09,0.830051
id08305,0.999999,7.41848e-07,4.71364e-07
id08903,0.999999,7.66027e-08,6.64673e-07
id14752,0.88548,0.111981,0.00253941
id12468,1.05171e-05,0.999989,1.30252e-07
id05085,0.948756,0.0511873,5.6691e-05
id21993,0.668137,1.22628e-07,0.331863
id15503,0.998865,0.00113531,3.39159e-08
id03021,9.42092e-07,0.999999,3.28445e-07
id16123,1.0,1.0384e-14,2.34452e-14
id19383,0.999965,3.24339e-05,2.96608e-06
id04186,1.0,3.25222e-09,1.78806e-08
id17954,0.312637,3.56764e-06,0.687359
id12030,0.0061315,1.44049e-08,0.993869
id13020,0.999821,0.000167494,1.20788e-05
id25327,3.10555e-05,0.999692,0.000277248
id16344,0.816451,0.12958,0.0539693
id12303,0.708042,0.291855,0.000103364
id15017,0.999998,1.80852e-06,2.95166e-08
id22308,0.999889,1.54146e-08,0.000110721
id06536,0.0262348,0.0205624,0.953203
id19797,0.00131957,0.997321,0.00135907
id06332,0.997702,0.0021675,0.000130803
id22941,0.651606,4.50081e-05,0.348349
id13547,0.997487,7.11738e-06,0.00250588
id06928,0.000791447,3.31869e-07,0.999208
id12521,0.751762,0.247916,0.000322471
id25716,0.999518,8.14116e-07,0.000481493
id27116,0.000395301,2.65281e-09,0.999605
id19941,0.014579,0.98527,0.000150705
id05711,6.70094e-07,9.68828e-09,0.999999
id02097,8.30205e-07,2.16069e-07,0.999999
id03563,6.5965e-07,0.999999,1.10571e-08
id02295,0.00927221,0.990242,0.000485596
id08179,1.0,5.75057e-08,5.4168e-10
id05332,1.32515e-06,0.999999,1.45227e-07
id15697,0.994988,1.46865e-06,0.00501028
id17026,0.00186541,5.556e-05,0.998079
id04243,0.999885,0.000111114,4.31767e-06
id13175,1.0,2.3409e-12,2.26599e-14
id05387,1.0,3.15409e-07,2.58084e-09
id19989,0.950012,0.0495051,0.000482608
id25173,0.00241772,1.36955e-06,0.997581
id08925,0.985326,0.0144094,0.000264389
id03034,6.99164e-05,0.998998,0.000932256
id13272,9.20158e-09,1.0,1.61374e-09
id07956,0.999999,1.23502e-07,9.13959e-07
id02648,0.982462,0.0167991,0.000739368
id01778,0.08866,4.82304e-08,0.91134
id12846,3.14013e-07,1.04829e-11,1.0
id19001,0.89098,1.82603e-06,0.109018
id05763,0.0862436,2.07895e-09,0.913756
id15590,0.0168421,1.97554e-06,0.983156
id04912,0.99912,4.31591e-05,0.000836448
id21201,0.898137,0.0948428,0.00702014
id13215,1.0,1.34857e-11,1.53648e-09
id15612,6.86627e-06,0.999993,6.74274e-08
id18501,0.980902,4.57965e-06,0.0190933
id07223,0.962333,0.00301203,0.0346549
id06707,0.152606,0.752667,0.0947268
id05238,1.19288e-11,1.0,4.38827e-13
id00935,0.0172257,0.0265241,0.95625
id00110,0.0259809,6.46572e-05,0.973954
id17476,1.0,4.16406e-10,4.16015e-09
id15170,1.0,3.03527e-09,7.17921e-08
id13397,0.96729,0.025549,0.00716088
id24283,0.999639,0.000360068,1.01662e-06
id15234,1.0,5.7026e-09,5.31356e-11
id16884,0.0761332,0.923852,1.43446e-05
id07831,0.888203,0.0294855,0.0823112
id16038,0.999992,8.14857e-06,3.08801e-07
id03629,0.999996,3.44441e-06,5.81298e-07
id21019,0.932481,0.0627306,0.00478865
id21835,0.986733,0.000269959,0.0129969
id04480,0.000119586,0.99988,8.43044e-09
id20838,0.0012838,0.998609,0.000107578
id24195,0.00309268,0.000463186,0.996444
id05448,0.425777,0.574204,1.91786e-05
id15957,0.00699276,0.98783,0.00517772
id19956,1.06237e-05,7.69551e-10,0.999989
id15104,8.86802e-05,0.000202239,0.999709
id17559,0.999561,0.000365222,7.38736e-05
id16839,0.968113,0.00120648,0.0306806
id14493,0.9399,6.69229e-06,0.0600938
id08833,0.999756,1.48729e-06,0.00024288
id15723,0.995441,0.000923453,0.00363585
id02716,1.0,4.21149e-12,5.54515e-13
id06689,9.16875e-07,0.999999,1.12541e-07
id18837,0.982731,1.24869e-05,0.0172562
id04466,0.999942,5.74058e-05,6.08088e-07
id00686,1.0,1.63744e-07,2.74639e-07
id09010,0.539169,0.460776,5.43751e-05
id23353,1.0,1.34031e-09,1.16214e-08
id00066,0.999988,7.91014e-06,4.12606e-06
id15724,9.76906e-06,0.99999,9.88285e-10
id23486,5.71835e-06,6.65595e-09,0.999994
id22258,8.33666e-07,4.57452e-10,0.999999
