id,EAP,HPL,MWS
id02310,0.920257,4.12261e-08,0.0797428
id24541,0.996814,0.00318556,2.91393e-07
id00134,2.62298e-07,1.0,7.27444e-09
id27757,0.999325,0.000671358,3.73184e-06
id04081,1.0,3.60366e-08,1.34699e-09
id27337,0.0034719,0.996528,3.54936e-08
id24265,0.999999,5.25138e-07,6.59881e-07
id25917,7.89066e-08,1.86584e-06,0.999998
id04951,1.0,3.45315e-07,9.92966e-12
id14549,0.998247,0.000246199,0.00150693
id22505,0.997018,0.00277486,0.000206833
id24002,5.98349e-09,1.0,1.68273e-09
id18982,0.000524673,0.999475,1.27534e-07
id15181,1.82236e-10,1.0,2.44469e-11
id21888,0.203417,0.35924,0.437343
id12035,0.147599,4.61224e-05,0.852355
id17991,0.869837,0.00750307,0.12266
id10707,1.0,3.66539e-14,1.52816e-15
id07101,8.53094e-05,4.89134e-07,0.999914
id00345,8.51191e-05,0.999915,3.06783e-07
id05912,0.999997,1.36828e-06,1.26522e-06
id13443,0.999262,0.000730366,7.43668e-06
id09248,0.000297417,2.50224e-05,0.999678
id17542,0.922667,0.000260494,0.0770723
id06995,0.000355466,1.01747e-05,0.999634
id25159,1.0,5.47219e-09,5.32579e-07
id25729,0.732296,0.252573,0.0151312
id26949,0.999999,8.23132e-07,1.41227e-09
id27191,0.226343,9.74686e-09,0.773657
id07668,0.000112974,2.2532e-08,0.999887
id02230,2.27827e-07,1.02314e-05,0.99999
id15553,1.0,2.69013e-11,1.96476e-10
id25688,5.74818e-09,1.0,1.84615e-07
id17545,1.0,3.74819e-10,2.69059e-11
id13929,0.247353,0.347329,0.405317
id12880,0.00190439,0.992512,0.00558379
id19282,0.999992,7.07789e-06,7.98123e-07
id14690,2.64373e-08,6.63748e-13,1.0
id17975,5.74393e-11,1.0,3.35636e-11
id08037,0.999998,8.77196e-09,1.55794e-06
id15412,0.0885055,3.15169e-06,0.911491
id25032,0.00252344,8.17885e-05,0.997395
id27165,1.0,7.23245e-12,3.85304e-11
id03327,0.000745958,0.999209,4.51808e-05
id18515,1.0,5.16887e-11,4.06271e-08
id21003,0.000760567,8.59076e-07,0.999239
id23855,0.000282563,0.999481,0.000236366
id20724,0.999448,0.000522885,2.94403e-05
id13303,0.998992,0.00085453,0.000153078
id16521,2.18186e-06,0.00469012,0.995308
id20775,1.0,1.67127e-10,2.49383e-14
id13029,0.995199,1.50418e-05,0.00478562
id14660,0.99965,0.000343893,6.15402e-06
id11028,2.10547e-05,1.11307e-10,0.999979
id14180,1.0,1.22864e-10,2.81272e-11
id25860,1.0,5.03847e-08,3.02877e-13
id11910,0.212472,6.60068e-05,0.787462
id08065,0.000107761,2.71176e-07,0.999892
id22674,6.30224e-10,2.49896e-11,1.0
id25018,0.999405,5.46736e-08,0.000595359
id10892,4.43023e-09,1.0,8.05197e-11
id10217,2.51691e-06,0.999997,2.3338e-09
id12996,0.512717,0.00213305,0.48515
id18262,1.0,4.69661e-09,1.43282e-08
id08606,1.82566e-09,1.0,1.25109e-09
id17233,1.0,3.71226e-09,4.42445e-07
id00101,0.97156,5.70636e-07,0.0284391
id12225,0.999893,5.60401e-05,5.09212e-05
id01364,3.29095e-07,1.0,5.78438e-08
id24973,0.594231,2.02075e-06,0.405767
id25363,0.95601,1.28475e-09,0.0439897
id10061,0.000296273,6.60294e-06,0.999697
id17673,1.49314e-05,0.999985,2.85253e-07
id13249,9.58149e-06,5.67199e-07,0.99999
id10107,2.13876e-08,1.59331e-13,1.0
id04403,1.0,1.49222e-10,1.70035e-08
id25728,0.999878,3.59269e-06,0.000117989
id16184,0.00450241,0.000511102,0.994987
id03438,7.59056e-06,5.19604e-11,0.999992
id22923,0.308701,0.691299,4.57048e-09
id08610,1.0,5.43082e-14,5.05225e-11
id25355,0.00024035,0.000141431,0.999618
id16916,0.989354,0.0106445,1.46358e-06
id12793,0.000192734,0.999773,3.44504e-05
id11859,0.999776,0.000102684,0.000121357
id02434,1.0,7.92562e-09,1.83492e-10
id27703,7.21697e-06,4.16579e-09,0.999993
id25212,0.0215024,0.957031,0.0214664
id11308,0.00506885,0.47741,0.517521
id26094,1.0,2.08121e-07,4.0924e-10
id22080,0.999999,6.15418e-07,5.38139e-11
id03545,1.0,8.34983e-10,1.01389e-12
id23725,3.27024e-07,4.08021e-06,0.999996
id12009,0.86331,0.136421,0.000268391
id24241,0.997337,0.000955853,0.00170695
id03596,3.47058e-11,1.0,1.8918e-14
id10749,1.60334e-08,1.0,3.28101e-09
id22794,8.91109e-11,3.07225e-13,1.0
id15482,0.000962006,0.910727,0.0883106
id04833,0.239291,0.760681,2.87503e-05
id00397,0.0420911,7.67096e-08,0.957909
id14691,0.00318101,0.962063,0.034756
id05193,7.66601e-09,3.53284e-13,1.0
id19541,0.999997,3.21808e-06,1.36657e-08
id22166,0.000205279,0.0139695,0.985825
id20744,0.0575174,1.95361e-06,0.942481
id10392,2.12302e-09,1.38984e-11,1.0
id00770,1.0,1.29177e-08,1.44711e-10
id06018,0.99529,0.0047098,5.24786e-07
id15678,0.0116176,5.31994e-06,0.988377
id08305,1.0,4.41506e-09,5.10212e-09
id08903,0.999999,8.78556e-07,5.72174e-07
id14752,0.00341256,0.996565,2.2827e-05
id12468,5.28115e-05,0.999947,2.68629e-10
id05085,0.127984,0.870496,0.00152018
id21993,0.942428,0.000218313,0.0573536
id15503,0.999889,0.000111452,3.30555e-10
id03021,7.05903e-12,1.0,1.87793e-12
id16123,1.0,1.57789e-19,1.13836e-21
id19383,0.999778,0.000221828,1.12002e-11
id04186,1.0,7.68241e-10,8.2936e-08
id17954,9.62664e-05,5.53779e-07,0.999903
id12030,0.327579,5.32405e-08,0.672421
id13020,0.999933,6.65715e-05,4.83859e-07
id25327,0.000106006,0.995688,0.00420591
id16344,0.0763102,0.00746251,0.916227
id12303,0.00227828,0.997697,2.5123e-05
id15017,0.999918,8.18941e-05,3.04424e-07
id22308,0.0121113,4.79679e-08,0.987889
id06536,5.71859e-05,0.000114415,0.999828
id19797,0.00323194,0.949466,0.0473021
id06332,0.999971,2.79792e-05,5.48607e-07
id22941,0.998514,1.88944e-06,0.00148369
id13547,8.72149e-07,3.09953e-07,0.999999
id06928,3.97604e-07,3.16744e-13,1.0
id12521,0.000374131,0.999625,3.79386e-07
id25716,0.999928,9.68427e-08,7.13513e-05
id27116,6.36477e-08,2.96477e-12,1.0
id19941,4.93437e-07,0.999999,7.28477e-07
id05711,4.72145e-07,2.44303e-08,1.0
id02097,2.99976e-09,7.20759e-10,1.0
id03563,2.8355e-08,1.0,1.93487e-09
id02295,0.222116,0.774262,0.00362221
id08179,1.0,2.91109e-09,2.60362e-09
id05332,3.48616e-10,1.0,1.87749e-11
id15697,0.999942,5.83339e-06,5.18391e-05
id17026,2.75165e-05,3.91524e-07,0.999972
id04243,0.999999,7.64145e-07,1.62917e-10
id13175,1.0,1.72163e-13,4.15304e-15
id05387,0.999999,8.7058e-07,6.42444e-08
id19989,0.997254,0.000337901,0.00240804
id25173,1.29228e-08,2.01471e-10,1.0
id08925,0.999991,5.25305e-06,3.9591e-06
id03034,7.78136e-11,1.0,4.73639e-09
id13272,2.44305e-13,1.0,3.13465e-13
id07956,1.0,1.45526e-11,1.01199e-10
id02648,0.974897,0.0250451,5.83137e-05
id01778,8.78075e-05,2.97583e-09,0.999912
id12846,2.3067e-10,6.63084e-13,1.0
id19001,0.504833,2.1388e-06,0.495165
id05763,0.363444,1.42596e-06,0.636555
id15590,0.0768515,6.94022e-07,0.923148
id04912,0.948727,0.0509127,0.000360562
id21201,0.959783,0.0107899,0.0294273
id13215,1.0,1.0879e-12,6.52275e-11
id15612,2.13683e-09,1.0,8.16024e-11
id18501,0.245372,0.035259,0.719369
id07223,0.91249,0.00475345,0.0827565
id06707,0.0458558,0.847583,0.106561
id05238,1.19969e-16,1.0,1.59013e-17
id00935,2.61324e-05,0.00551713,0.994457
id00110,1.53203e-05,5.12344e-05,0.999933
id17476,1.0,1.9179e-08,5.3767e-12
id15170,1.0,1.54709e-08,4.47042e-08
id13397,0.863648,0.131161,0.00519075
id24283,0.0120782,0.984219,0.00370286
id15234,1.0,4.91846e-15,1.60914e-14
id16884,0.0151657,0.984834,2.06016e-07
id07831,0.999971,9.69254e-06,1.98118e-05
id16038,1.0,5.12346e-08,3.72224e-09
id03629,0.999979,5.15301e-07,2.07871e-05
id21019,0.999179,0.000616238,0.000205168
id21835,0.999992,1.33939e-06,6.6055e-06
id04480,8.90262e-07,0.999999,6.18207e-11
id20838,8.67029e-07,0.999999,4.05399e-09
id24195,0.000220543,0.00119595,0.998584
id05448,0.153833,0.831525,0.0146425
id15957,0.00434938,0.994245,0.00140529
id19956,6.27815e-09,3.6011e-13,1.0
id15104,3.7338e-06,0.038233,0.961763
id17559,0.999999,6.51717e-07,1.95798e-07
id16839,0.00184611,0.477824,0.52033
id14493,0.852291,1.55865e-05,0.147694
id08833,0.9928,0.00500187,0.00219783
id15723,0.0104607,8.16844e-05,0.989458
id02716,1.0,6.00954e-13,2.42458e-11
id06689,4.16881e-13,1.0,1.05376e-12
id18837,7.25034e-06,2.54008e-08,0.999993
id04466,0.999999,4.07273e-07,2.33444e-07
id00686,0.998399,0.00135609,0.000244618
id09010,5.76659e-05,0.999942,2.36593e-08
id23353,1.0,1.34589e-15,2.17516e-13
id00066,0.99975,2.97449e-05,0.000220241
id15724,1.42813e-07,1.0,3.02425e-08
id23486,2.80103e-06,9.40584e-11,0.999997
id22258,5.91871e-07,7.63227e-09,0.999999
id02292,0.998211,0.00148254,0.000306233
id16356,0.00118182,3.81753e-08,0.998818
id00235,0.0850639,1.44032e-06,0.914935
id25522,1.64747e-05,4.88341e-11,0.999984
id04204,0.970531,0.0294265,4.26352e-05
id22016,0.951946,0.0024503,0.0456034
id06480,3.2397e-10,1.0,6.32408e-11
id08718,0.821094,0.00248206,0.176424
id05251,3.57954e-09,1.0,6.36793e-11
id03359,0.986062,0.0137254,0.000213047
id16117,3.79787e-09,9.87611e-13,1.0
id17000,1.34877e-11,1.0,2.99861e-12
id01730,1.5084e-05,0.999985,1.64749e-07
id00630,0.999999,6.72868e-07,1.90193e-09
id18175,0.160847,1.83186e-08,0.839153
id00907,1.0,3.43839e-08,2.84875e-08
id18251,1.29528e-10,1.0,1.24218e-11
id25861,0.999869,8.22986e-05,4.82704e-05
id00398,0.999997,2.87191e-06,1.20227e-07
id27573,1.0,1.996e-14,4.82449e-11
id10022,4.87545e-06,0.999947,4.85081e-05
id15901,5.39455e-06,1.22554e-10,0.999995
id00451,0.00126427,0.00209499,0.996641
id23129,0.0079362,0.991991,7.3324e-05
id26498,6.07667e-06,0.999988,6.35443e-06
id14741,0.999848,0.000152169,1.91765e-08
id18453,0.000149596,1.77516e-09,0.99985
id08309,1.0,7.27287e-08,2.45829e-09
id00320,1.0,3.30827e-10,5.97926e-08
id07688,0.000930655,2.38351e-07,0.999069
id01556,9.60814e-08,2.11812e-10,1.0
id00178,0.550752,0.000278793,0.448969
id18902,8.73944e-05,0.182039,0.817873
id27002,0.982439,0.0166693,0.000891721
id21418,1.0,2.7539e-12,6.67696e-16
id23018,0.000662256,5.44546e-07,0.999337
id07032,0.346385,0.147544,0.506071
id16195,1.0,1.15072e-09,5.99327e-10
id11202,0.000148815,0.99985,7.53101e-07
id09578,0.999779,8.37309e-05,0.000136928
id26984,0.999747,2.59732e-07,0.000253307
id19856,7.99948e-15,1.0,2.31083e-14
id12086,1.0,4.29388e-12,7.37694e-09
id12052,0.999973,2.09761e-06,2.51374e-05
id17728,3.45683e-05,0.000618159,0.999347
id24608,0.999968,3.13536e-05,4.72093e-07
id21097,0.644659,0.00302662,0.352315
id20179,6.24014e-13,5.22239e-11,1.0
id15144,0.911627,0.0870426,0.00133068
id00206,1.0,1.12858e-11,3.02541e-13
id22285,0.00168419,4.88504e-05,0.998267
id06417,0.564458,0.03508,0.400462
id00215,4.08302e-06,0.999996,2.7396e-11
id04201,0.0217314,0.283102,0.695166
id21771,0.975389,0.000539468,0.0240717
id12451,0.492861,0.0417518,0.465387
id14250,1.52761e-07,0.999999,6.12481e-07
id03433,0.00258242,0.997324,9.37583e-05
id03303,6.60104e-05,1.50642e-05,0.999919
id25901,0.856794,0.142884,0.000321966
id06945,1.0,8.51646e-11,4.8513e-08
id05664,0.999133,0.000861151,5.77278e-06
id05741,1.0,2.52198e-09,1.92615e-11
id10652,1.0,1.65616e-08,4.3273e-08
id16300,0.998653,6.06978e-05,0.0012861
id12319,0.0828124,0.0112797,0.905908
id07500,1.2262e-09,1.0,2.47346e-12
id12478,0.0215861,0.176614,0.8018
id03076,1.72961e-06,3.63702e-12,0.999998
id00969,0.0302636,0.962643,0.00709336
id23636,1.06205e-05,0.999989,1.06167e-07
id09791,0.0668387,0.00776149,0.9254
id05680,0.000104301,0.995432,0.00446372
id03672,0.000578693,0.992541,0.00688063
id04286,1.17833e-06,0.922624,0.0773745
id23883,4.23246e-09,8.16679e-09,1.0
id11914,0.999998,1.46941e-07,1.65752e-06
id20974,1.08266e-05,0.999989,4.58464e-08
id26125,0.0010272,1.66256e-08,0.998973
id15543,0.000269109,1.78254e-09,0.999731
id19471,0.980758,0.00799229,0.0112494
id11503,0.999974,2.40763e-05,2.22966e-06
id09321,0.0099003,0.00201946,0.98808
id25560,7.42179e-14,5.1975e-15,1.0
id06726,0.290197,5.54025e-06,0.709798
id05709,1.0,2.55711e-11,2.99245e-08
id09788,0.219551,0.777556,0.00289363
id05289,1.0,3.65911e-12,1.95522e-14
id11815,3.66477e-10,1.0,5.66958e-11
id22422,0.999946,5.21329e-05,2.34726e-06
id25954,0.999979,1.98301e-05,1.44058e-06
id13601,0.999941,4.19561e-06,5.53611e-05
id05677,0.999956,7.8398e-08,4.34272e-05
id10498,0.000512416,0.999487,1.2585e-07
id02665,0.000698897,0.999242,5.93822e-05
id10114,1.37803e-06,0.999987,1.15634e-05
id26314,1.0,2.5823e-07,3.72462e-11
id21240,0.999921,5.94584e-06,7.343e-05
id15569,1.0,4.63336e-10,4.01012e-11
id25928,0.0142111,7.29436e-07,0.985788
id22706,1.36788e-05,0.999986,1.02021e-08
id20877,8.78268e-10,1.0,1.01104e-07
id04318,0.999952,3.88066e-05,8.95635e-06
id18299,0.67104,0.103051,0.225909
id08126,0.00148716,1.98849e-09,0.998513
id14293,0.404549,1.47354e-07,0.595451
id12759,0.997969,0.0020251,6.05905e-06
id11983,0.997544,0.000955987,0.00150026
id05580,0.000167174,0.999796,3.6728e-05
id25846,0.99235,0.00686861,0.000781159
id01939,0.91759,6.13057e-07,0.082409
id26327,0.398098,0.0348104,0.567092
id11068,4.61297e-10,1.94647e-16,1.0
id08404,0.999198,4.31183e-08,0.000801914
id27189,0.999729,0.000271369,2.05461e-08
id15119,1.12e-09,1.0,6.78016e-10
id26525,1.0,1.73343e-07,1.5311e-07
id03618,3.54224e-05,0.99996,4.23617e-06
id27220,1.0,6.72443e-10,9.00161e-14
id18777,0.000177016,4.41168e-06,0.999819
id20213,0.999943,1.06849e-05,4.57166e-05
id20403,0.97769,0.0222717,3.8572e-05
id03777,4.02239e-05,4.78454e-05,0.999912
id10595,1.85666e-07,1.0,1.68213e-09
id13816,0.0658294,8.62222e-08,0.93417
id05667,1.1859e-10,2.2994e-15,1.0
id24629,0.989952,0.000148942,0.00989916
id20398,1.86937e-05,5.24594e-06,0.999976
id14108,7.02566e-15,2.64326e-17,1.0
id06196,1.0097e-11,1.0,9.1438e-11
id02800,6.8026e-05,0.999857,7.49345e-05
id18732,2.59337e-11,1.0,1.42179e-12
id11915,0.000288369,0.999615,9.61635e-05
id09739,1.0,9.6967e-08,2.18523e-08
id24672,1.0,2.26988e-08,1.74475e-09
id00414,4.25866e-07,1.88696e-09,1.0
id16307,0.000574467,0.0075001,0.991925
id14043,0.00151749,3.68559e-05,0.998446
id00517,1.71843e-11,6.3409e-18,1.0
id09744,0.999992,8.11469e-06,2.30968e-10
id19257,1.0,2.61053e-08,1.00441e-09
id15437,0.962379,0.0376203,1.07876e-06
id16352,3.57454e-05,6.71453e-08,0.999964
id18849,2.28656e-05,9.70489e-08,0.999977
id19434,3.13472e-14,1.0,5.7226e-14
id17928,0.590438,0.0202584,0.389304
id16896,3.13915e-06,2.24525e-09,0.999997
id02135,0.451814,0.546473,0.00171303
id15075,0.940765,0.0592291,5.59536e-06
id27486,5.41443e-07,0.999999,8.51259e-09
id19422,0.999997,2.68557e-06,6.1462e-09
id09603,3.36556e-09,1.0,1.36018e-10
id02133,4.46924e-05,0.999953,1.86856e-06
id03441,0.974284,4.8471e-11,0.0257155
id02398,1.31778e-09,1.0,1.00288e-11
id05152,0.995843,1.49143e-06,0.00415539
id17838,0.999998,1.17373e-06,4.90269e-07
id25060,0.410296,0.589704,3.9317e-07
id09998,0.00932902,4.86386e-06,0.990666
id01828,1.67267e-07,0.999992,8.29008e-06
id25377,0.998568,2.33261e-07,0.00143151
id22175,3.7405e-06,0.999996,3.65202e-08
id02974,1.76835e-05,0.650074,0.349908
id26955,1.0,8.95587e-09,4.69987e-12
id21091,1.0,6.5772e-09,2.60582e-08
id12802,1.0,3.67731e-08,3.65762e-11
id07432,2.32792e-12,1.0,1.26059e-11
id18749,4.79773e-06,0.00928552,0.99071
id15030,1.90264e-07,2.13865e-06,0.999998
id17155,0.000349284,0.99965,1.01069e-06
id08128,2.51465e-09,1.0,2.73089e-08
id25706,8.82989e-15,1.0,5.28333e-12
id15645,1.0,2.21296e-09,1.07494e-10
id04943,0.994822,0.00517815,8.06305e-08
id27566,4.34848e-06,1.59706e-09,0.999996
id11765,0.000833837,0.00149984,0.997666
id13783,0.998652,0.00133825,9.43939e-06
id00492,2.05784e-09,1.93857e-10,1.0
id27636,3.54544e-06,5.42564e-08,0.999996
id04273,0.996603,0.00339692,2.26519e-08
id02537,0.282192,0.654126,0.0636818
id24349,0.999995,4.75495e-06,2.05994e-13
id00023,3.35354e-09,0.999976,2.44655e-05
id23025,0.00210545,0.997895,3.37702e-08
id08722,1.0,1.32128e-09,3.85768e-08
id02420,1.0,1.77608e-13,1.71437e-14
id10811,1.0,5.15321e-10,6.1419e-08
id04019,9.9646e-09,1.15114e-12,1.0
id18334,1.0,1.43036e-08,3.98145e-10
id16781,0.999458,0.000538925,2.77496e-06
id08773,0.999998,2.23008e-06,1.441e-10
id19214,0.235307,0.764017,0.000676083
id09589,2.57864e-09,0.999996,4.20777e-06
