id,EAP,HPL,MWS
id02310,0.0135159,0.00783568,0.978648
id24541,0.894185,0.0923472,0.0134673
id00134,0.145468,0.846821,0.00771089
id27757,0.876313,0.0906445,0.0330423
id04081,0.939659,0.0113729,0.0489678
id27337,0.380884,0.607569,0.0115471
id24265,0.884094,0.111995,0.00391142
id25917,0.175463,0.197687,0.626851
id04951,0.962992,0.0369295,7.90327e-05
id14549,0.987055,0.00476168,0.00818316
id22505,0.0601187,0.818523,0.121358
id24002,9.6062e-05,0.999002,0.000902174
id18982,0.0619083,0.82015,0.117942
id15181,0.00260408,0.996816,0.000579563
id21888,0.915391,0.0096395,0.0749692
id12035,0.000322007,6.86956e-05,0.999609
id17991,0.0276281,0.0016868,0.970685
id10707,0.999908,8.61314e-05,5.66814e-06
id07101,0.263636,0.0900323,0.646332
id00345,0.683789,0.279161,0.0370501
id05912,0.90375,0.00714138,0.0891089
id13443,0.789736,0.123528,0.0867363
id09248,0.290217,0.020856,0.688927
id17542,0.00224542,0.997003,0.000751655
id06995,0.114507,0.0574616,0.828031
id25159,0.317128,0.0129692,0.669903
id25729,0.765642,0.16336,0.0709978
id26949,0.986368,0.00666068,0.00697136
id27191,0.097064,0.0118966,0.891039
id07668,0.177839,0.0277883,0.794373
id02230,0.0324563,0.312155,0.655388
id15553,0.987773,0.00763543,0.00459109
id25688,0.00032278,0.999346,0.000331421
id17545,0.9888,0.0107659,0.000433647
id13929,0.566799,0.205959,0.227242
id12880,0.544549,0.298916,0.156535
id19282,0.751325,0.0933597,0.155315
id14690,0.000310216,0.000202797,0.999487
id17975,0.00292068,0.996864,0.000214806
id08037,0.856543,0.0076897,0.135767
id15412,0.416519,0.0051581,0.578322
id25032,0.27459,0.025804,0.699606
id27165,0.999885,9.08659e-05,2.40765e-05
id03327,0.891648,0.0653154,0.0430371
id18515,0.942439,0.00874082,0.0488201
id21003,0.261613,0.0474377,0.69095
id23855,0.000250039,0.996372,0.00337793
id20724,0.860844,0.0214548,0.117701
id13303,0.714555,0.0662391,0.219206
id16521,0.00270664,0.282929,0.714365
id20775,0.983402,0.0131958,0.00340245
id13029,0.99415,0.00550228,0.000347803
id14660,0.670506,0.298732,0.0307629
id11028,0.00367535,7.52373e-05,0.996249
id14180,0.983692,0.0116878,0.0046202
id25860,0.993635,0.00587094,0.000494542
id11910,0.474563,0.0185948,0.506842
id08065,0.107641,0.00893366,0.883426
id22674,0.0368258,0.0208545,0.94232
id25018,0.348752,0.0100456,0.641203
id10892,0.0599603,0.929859,0.010181
id10217,0.0753456,0.922866,0.00178853
id12996,0.113962,0.0341729,0.851865
id18262,0.524341,0.18958,0.28608
id08606,0.107643,0.827732,0.0646246
id17233,0.997275,0.000316961,0.00240837
id00101,0.861467,0.0988723,0.0396605
id12225,0.985192,0.0119524,0.00285547
id01364,0.154137,0.8368,0.00906223
id24973,0.633149,0.00897681,0.357874
id25363,0.854484,0.00590627,0.13961
id10061,0.532294,0.107684,0.360022
id17673,0.301783,0.51061,0.187607
id13249,0.15735,0.0133427,0.829307
id10107,0.000426101,0.000223173,0.999351
id04403,0.956952,0.00882694,0.0342206
id25728,0.96709,0.0151362,0.0177743
id16184,0.143848,0.0283021,0.82785
id03438,0.00452435,7.34528e-05,0.995402
id22923,0.0565304,0.941701,0.00176904
id08610,0.997801,0.0002316,0.00196688
id25355,0.0481964,0.0765393,0.875264
id16916,0.762345,0.232443,0.00521286
id12793,0.0324185,0.946958,0.0206234
id11859,0.711709,0.00351357,0.284777
id02434,0.998869,0.00106788,6.33835e-05
id27703,0.00477714,0.0013854,0.993837
id25212,0.169316,0.8085,0.0221846
id11308,0.0258646,0.106341,0.867795
id26094,0.880481,0.0738865,0.0456325
id22080,0.992708,0.0072474,4.47723e-05
id03545,0.995188,0.00353125,0.00128046
id23725,0.00573571,0.0250111,0.969253
id12009,0.945993,0.0303539,0.0236528
id24241,0.213448,0.520064,0.266488
id03596,0.0197305,0.968469,0.0118006
id10749,0.0349893,0.942652,0.0223587
id22794,0.00581421,0.00927729,0.984909
id15482,0.267073,0.202625,0.530302
id04833,0.621387,0.338403,0.0402105
id00397,0.187635,0.00620963,0.806156
id14691,0.0936335,0.18102,0.725347
id05193,0.00635347,0.000883572,0.992763
id19541,0.931135,0.0470921,0.0217725
id22166,0.00235656,0.00550012,0.992143
id20744,0.0112153,0.00139883,0.987386
id10392,0.0102888,0.0488696,0.940842
id00770,0.928202,0.0253487,0.0464496
id06018,0.84664,0.0835548,0.0698051
id15678,0.78958,0.0151429,0.195277
id08305,0.998206,0.00177727,1.61381e-05
id08903,0.310813,0.00309542,0.686091
id14752,0.582918,0.355236,0.0618463
id12468,0.0712501,0.925326,0.00342403
id05085,0.661593,0.29914,0.039267
id21993,0.357308,0.0107605,0.631932
id15503,0.97371,0.0258228,0.000467349
id03021,9.05717e-06,0.999765,0.000225612
id16123,0.99769,0.00151653,0.000793916
id19383,0.996111,0.00361856,0.000269984
id04186,0.998526,0.000785857,0.000687858
id17954,0.0118673,0.00684437,0.981288
id12030,0.235642,0.000991429,0.763367
id13020,0.934452,0.047255,0.018293
id25327,0.00615212,0.966221,0.0276266
id16344,0.0212549,0.129408,0.849337
id12303,0.294717,0.690432,0.0148509
id15017,0.977222,0.0160203,0.00675764
id22308,0.24617,0.0478869,0.705943
