id,EAP,HPL,MWS
id02310,0.0652579,0.0281895,0.906553
id24541,0.939503,0.0504022,0.0100942
id00134,0.213823,0.76368,0.0224967
id27757,0.733805,0.218148,0.0480475
id04081,0.905756,0.0442085,0.0500352
id27337,0.63714,0.342798,0.0200626
id24265,0.985561,0.0128719,0.00156727
id25917,0.111303,0.267063,0.621634
id04951,0.894754,0.104819,0.000426657
id14549,0.989579,0.0005217,0.0098993
id22505,0.0911077,0.766237,0.142655
id24002,0.00333299,0.990912,0.00575495
id18982,0.181857,0.464949,0.353194
id15181,0.00714408,0.991679,0.00117691
id21888,0.969836,0.0177415,0.0124223
id12035,0.00279308,9.56678e-05,0.997111
id17991,0.0819525,0.00824447,0.909803
id10707,0.999836,0.000153807,1.01207e-05
id07101,0.267314,0.11548,0.617206
id00345,0.613967,0.352972,0.0330617
id05912,0.93326,0.00542857,0.0613117
id13443,0.699825,0.137187,0.162987
id09248,0.680722,0.0327065,0.286572
id17542,0.0282142,0.948319,0.0234666
id06995,0.0915649,0.0577604,0.850675
id25159,0.523125,0.0193207,0.457554
id25729,0.71585,0.143272,0.140878
id26949,0.970292,0.0221801,0.00752762
id27191,0.229857,0.0202068,0.749936
id07668,0.288925,0.059181,0.651894
id02230,0.132328,0.166546,0.701126
id15553,0.968138,0.017205,0.0146568
id25688,0.00341126,0.97777,0.0188185
id17545,0.854121,0.137932,0.00794728
id13929,0.761942,0.0491297,0.188928
id12880,0.345539,0.470862,0.183599
id19282,0.624056,0.166916,0.209028
id14690,0.00102172,0.0020899,0.996888
id17975,0.0409545,0.954005,0.00504084
id08037,0.91311,0.00932258,0.0775672
id15412,0.668258,0.0122562,0.319486
id25032,0.366846,0.00805026,0.625104
id27165,0.99868,0.000931118,0.000389329
id03327,0.881484,0.0798203,0.038696
id18515,0.971307,0.00835995,0.0203334
id21003,0.391827,0.0697055,0.538468
id23855,0.000986463,0.976162,0.0228515
id20724,0.865746,0.0158541,0.1184
id13303,0.819591,0.0443579,0.136051
id16521,0.0170719,0.229856,0.753072
id20775,0.980114,0.0142887,0.00559771
id13029,0.90999,0.0741327,0.015877
id14660,0.743746,0.177918,0.0783358
id11028,0.00400735,4.53608e-05,0.995947
id14180,0.991395,0.00539875,0.00320634
id25860,0.992015,0.0066375,0.00134732
id11910,0.460204,0.00612781,0.533668
id08065,0.146281,0.0265741,0.827145
id22674,0.0564461,0.12482,0.818734
id25018,0.639655,0.00737658,0.352968
id10892,0.369798,0.607097,0.0231051
id10217,0.2699,0.719784,0.0103163
id12996,0.148423,0.0185528,0.833024
id18262,0.616175,0.127814,0.256011
id08606,0.0889376,0.852227,0.0588355
