id,EAP,HPL,MWS
id02310,0.0609471,0.00811898,0.930934
id24541,0.908277,0.0837662,0.00795713
id00134,0.143885,0.838298,0.0178175
id27757,0.820846,0.151222,0.027932
id04081,0.936297,0.0180476,0.0456557
id27337,0.533266,0.459667,0.00706722
id24265,0.965148,0.0319502,0.00290226
id25917,0.0781017,0.362338,0.559561
id04951,0.958902,0.0408156,0.000282499
id14549,0.982131,0.00625039,0.011619
id22505,0.0471575,0.826845,0.125997
id24002,0.000586071,0.997721,0.00169285
id18982,0.0797887,0.509655,0.410556
id15181,0.00539783,0.993631,0.000970815
id21888,0.928568,0.0269998,0.0444323
id12035,0.00221484,0.000254763,0.99753
id17991,0.105039,0.0164774,0.878484
id10707,0.999951,4.26147e-05,6.39016e-06
id07101,0.123635,0.0759048,0.80046
id00345,0.688343,0.29878,0.0128773
id05912,0.903251,0.0134335,0.0833159
id13443,0.927947,0.0412039,0.0308493
id09248,0.37937,0.0341147,0.586515
id17542,0.0054104,0.992484,0.00210609
id06995,0.0507927,0.028792,0.920415
id25159,0.461917,0.036674,0.501409
id25729,0.619308,0.216173,0.164519
id26949,0.984158,0.01015,0.00569242
id27191,0.186526,0.0110578,0.802417
id07668,0.277054,0.0447053,0.678241
id02230,0.0403422,0.36525,0.594407
id15553,0.993487,0.00320182,0.00331081
id25688,0.00115402,0.993331,0.00551478
id17545,0.976545,0.0202024,0.00325276
id13929,0.622928,0.123847,0.253225
id12880,0.474551,0.248295,0.277154
id19282,0.72322,0.162712,0.114068
id14690,0.000284168,0.000784474,0.998931
id17975,0.0217454,0.975803,0.00245181
id08037,0.932199,0.0113189,0.0564822
id15412,0.45011,0.00364358,0.546246
id25032,0.546977,0.00979933,0.443224
id27165,0.99965,0.000228504,0.000121325
id03327,0.921658,0.0636419,0.0147002
id18515,0.965618,0.00835397,0.0260277
id21003,0.337266,0.0665107,0.596224
id23855,0.000616407,0.987893,0.0114904
id20724,0.921371,0.0126918,0.0659368
id13303,0.80864,0.0730173,0.118342
id16521,0.00477173,0.537355,0.457873
id20775,0.963324,0.0299165,0.00675973
id13029,0.995031,0.00342379,0.00154544
id14660,0.779149,0.192912,0.0279389
id11028,0.0027684,0.000162206,0.997069
id14180,0.984496,0.010199,0.00530509
id25860,0.994626,0.00485125,0.000522989
id11910,0.760377,0.00720973,0.232413
id08065,0.279789,0.0140815,0.706129
id22674,0.0312915,0.0256149,0.943094
id25018,0.456295,0.0109617,0.532743
id10892,0.213015,0.766575,0.0204108
id10217,0.0636559,0.931976,0.0043684
id12996,0.111318,0.00462775,0.884054
id18262,0.557348,0.0918043,0.350848
id08606,0.112441,0.838016,0.0495432
id17233,0.997859,0.00072202,0.00141912
id00101,0.826736,0.134613,0.0386505
id12225,0.977027,0.0203075,0.00266574
id01364,0.126915,0.860324,0.0127602
id24973,0.793408,0.00608579,0.200507
id25363,0.767522,0.00720037,0.225278
id10061,0.52132,0.041499,0.437181
id17673,0.312008,0.480115,0.207877
id13249,0.0992316,0.0379054,0.862863
id10107,0.000744833,0.000236888,0.999018
id04403,0.968834,0.00769338,0.0234722
id25728,0.954792,0.0190318,0.0261759
id16184,0.193507,0.150576,0.655918
id03438,0.00485314,0.000297055,0.99485
id22923,0.00727417,0.990939,0.00178704
id08610,0.996862,0.00104115,0.00209705
id25355,0.0322935,0.0886176,0.879089
id16916,0.596921,0.348109,0.0549702
id12793,0.0854054,0.884145,0.0304492
id11859,0.429884,0.0067212,0.563395
id02434,0.99829,0.00146869,0.000241753
id27703,0.0119328,0.00250075,0.985566
id25212,0.0996351,0.85574,0.044625
id11308,0.0112245,0.105064,0.883712
id26094,0.759963,0.177411,0.0626259
id22080,0.987359,0.0125621,7.85106e-05
id03545,0.988804,0.0062624,0.00493356
