id,EAP,HPL,MWS
id02310,0.0422272,0.0133413,0.944432
id24541,0.944058,0.0437536,0.0121883
id00134,0.111953,0.870607,0.01744
id27757,0.724678,0.137384,0.137939
id04081,0.912175,0.0168811,0.0709441
id27337,0.294264,0.696615,0.0091203
id24265,0.776378,0.209427,0.0141954
id25917,0.21324,0.326702,0.460058
id04951,0.979047,0.0203361,0.000616893
id14549,0.933305,0.0482181,0.0184771
id22505,0.0824238,0.858379,0.0591972
id24002,0.000229163,0.999546,0.000225349
id18982,0.102049,0.698271,0.199679
id15181,0.00320776,0.996499,0.000293412
id21888,0.882112,0.0156366,0.102252
id12035,0.000208129,0.000195663,0.999596
id17991,0.140046,0.0112211,0.848733
id10707,0.999761,0.000222142,1.67862e-05
id07101,0.120197,0.0244698,0.855333
id00345,0.589156,0.39892,0.0119242
id05912,0.874009,0.00665009,0.119341
id13443,0.933601,0.035001,0.0313981
id09248,0.142817,0.0352659,0.821917
id17542,0.0023869,0.996987,0.000626132
id06995,0.261761,0.0602394,0.678
id25159,0.550323,0.00659429,0.443082
id25729,0.857248,0.0989813,0.0437706
id26949,0.947005,0.0266544,0.0263406
id27191,0.23235,0.00466282,0.762987
id07668,0.231135,0.0223091,0.746556
id02230,0.114053,0.27692,0.609026
id15553,0.989446,0.005391,0.00516322
id25688,0.00100032,0.997211,0.00178865
id17545,0.980387,0.0173005,0.00231238
id13929,0.826265,0.0665874,0.107148
id12880,0.346709,0.276358,0.376933
id19282,0.791739,0.113057,0.0952042
id14690,0.00141423,0.000484313,0.998102
id17975,0.0117254,0.983427,0.00484713
id08037,0.827031,0.00759208,0.165376
id15412,0.108967,0.00161446,0.889418
id25032,0.307227,0.0529929,0.63978
id27165,0.999438,0.000473476,8.86402e-05
id03327,0.835705,0.0830625,0.0812326
id18515,0.971936,0.00656188,0.0215025
id21003,0.349431,0.0795638,0.571005
id23855,0.00107029,0.996458,0.00247121
id20724,0.932429,0.014102,0.0534692
id13303,0.626437,0.109195,0.264368
id16521,0.00662476,0.365793,0.627582
id20775,0.972282,0.0248043,0.00291389
id13029,0.989191,0.00893786,0.00187123
id14660,0.820079,0.175547,0.00437438
id11028,0.00445043,0.000135791,0.995414
id14180,0.976037,0.0186596,0.00530387
id25860,0.9934,0.00595101,0.000649397
id11910,0.524288,0.00713723,0.468575
id08065,0.136906,0.0106308,0.852463
id22674,0.0480338,0.00796774,0.943998
id25018,0.243152,0.00720394,0.749644
id10892,0.114569,0.875987,0.00944462
id10217,0.0239112,0.975085,0.00100335
id12996,0.15402,0.00726051,0.83872
id18262,0.657408,0.0934424,0.24915
id08606,0.106044,0.869172,0.0247838
id17233,0.997749,0.000694878,0.00155587
id00101,0.848405,0.0759429,0.0756525
id12225,0.977101,0.0134241,0.00947531
id01364,0.206781,0.765635,0.027583
id24973,0.898012,0.00327606,0.098712
id25363,0.720241,0.0208936,0.258865
id10061,0.64032,0.0431292,0.31655
id17673,0.35763,0.560089,0.082281
id13249,0.250012,0.0102856,0.739702
id10107,0.000231175,1.89922e-05,0.99975
id04403,0.968376,0.00894145,0.0226824
id25728,0.944993,0.0427423,0.0122651
id16184,0.239019,0.107583,0.653399
id03438,0.0282689,0.000479267,0.971252
id22923,0.0213529,0.973229,0.00541826
id08610,0.999678,0.000106835,0.000215008
id25355,0.12583,0.0900947,0.784075
id16916,0.614628,0.365718,0.0196537
id12793,0.117139,0.862071,0.0207907
id11859,0.685112,0.00556645,0.309322
id02434,0.998854,0.000992753,0.000153399
id27703,0.0441815,0.00144434,0.954374
id25212,0.12474,0.867555,0.00770583
id11308,0.0774103,0.0930542,0.829535
id26094,0.917993,0.0419207,0.0400865
id22080,0.974811,0.0247948,0.000394453
id03545,0.993843,0.00205336,0.0041038
id23725,0.00560387,0.0106271,0.983769
id12009,0.963424,0.0177337,0.0188418
id24241,0.334906,0.401583,0.263511
id03596,0.0143013,0.982909,0.00278978
id10749,0.045555,0.936971,0.0174741
id22794,0.00606277,0.0111709,0.982766
id15482,0.314694,0.138177,0.547128
id04833,0.223395,0.758752,0.0178526
id00397,0.200125,0.00387902,0.795996
id14691,0.0939048,0.229207,0.676889
id05193,0.016763,0.00175737,0.98148
id19541,0.907297,0.075701,0.017002
id22166,0.00505543,0.00886728,0.986077
id20744,0.0106257,0.00403324,0.985341
id10392,0.0318999,0.0399915,0.928109
id00770,0.940079,0.0249127,0.035008
id06018,0.722943,0.151644,0.125413
id15678,0.81336,0.00424993,0.18239
id08305,0.991219,0.00844705,0.000334041
id08903,0.230739,0.00568898,0.763572
id14752,0.247442,0.705628,0.0469294
id12468,0.0397058,0.956469,0.00382524
id05085,0.500559,0.420175,0.0792656
id21993,0.312415,0.00859364,0.678991
id15503,0.913404,0.0811546,0.00544115
id03021,0.000156445,0.999247,0.000596686
id16123,0.989829,0.0069148,0.00325614
id19383,0.997984,0.00149549,0.000520798
id04186,0.999042,0.000313735,0.000643933
id17954,0.0123593,0.00617205,0.981469
id12030,0.327395,0.00298627,0.669619
id13020,0.87983,0.104318,0.0158523
id25327,0.0100482,0.931506,0.0584462
id16344,0.0543056,0.428673,0.517022
id12303,0.242285,0.743099,0.0146161
id15017,0.906096,0.0807617,0.0131426
id22308,0.463846,0.058759,0.477395
id06536,0.161106,0.188043,0.65085
id19797,0.0742699,0.760956,0.164774
id06332,0.340418,0.638543,0.0210391
id22941,0.146332,0.298253,0.555416
id13547,0.00698091,0.0509042,0.942115
id06928,0.0640764,0.0014466,0.934477
id12521,0.169051,0.826044,0.00490513
id25716,0.827071,0.00044233,0.172486
id27116,3.37067e-07,1.7649e-07,1.0
id19941,0.0170196,0.977596,0.00538481
id05711,9.99477e-06,0.000215225,0.999775
id02097,0.00512109,0.0350316,0.959847
id03563,0.0349902,0.958949,0.00606057
id02295,0.260509,0.733157,0.0063339
id08179,0.891273,0.0224089,0.0863179
id05332,0.00506681,0.992058,0.00287522
id15697,0.354043,0.243884,0.402073
id17026,0.630724,0.153371,0.215905
id04243,0.17854,0.81596,0.00549982
id13175,0.997867,0.000567284,0.00156601
id05387,0.925269,0.023578,0.0511534
id19989,0.749194,0.212449,0.0383566
id25173,0.0558808,0.050416,0.893703
id08925,0.000924937,0.999066,8.923e-06
id03034,0.0123126,0.960972,0.026715
id13272,0.00490352,0.988807,0.00628977
id07956,0.961161,0.00435144,0.0344874
id02648,1.31118e-05,6.47244e-05,0.999922
id01778,0.077118,0.00205463,0.920827
id12846,0.0139392,0.00368009,0.982381
id19001,0.80651,0.0114702,0.18202
id05763,0.893553,0.00505995,0.101387
id15590,0.000128021,0.000111748,0.99976
id04912,0.628033,0.139803,0.232163
id21201,0.871897,0.0723693,0.0557342
id13215,0.997421,0.000110161,0.00246886
id15612,0.0117752,0.975434,0.0127908
id18501,0.0183322,0.0021148,0.979553
id07223,0.758,0.113625,0.128375
id06707,0.24569,0.116834,0.637476
id05238,0.00133297,0.998461,0.000206224
id00935,0.0492215,0.556489,0.39429
id00110,0.483097,0.34721,0.169693
id17476,0.968405,0.0253888,0.00620594
id15170,0.963039,0.0289927,0.00796791
id13397,0.723418,0.0239667,0.252615
id24283,0.716902,0.159103,0.123995
id15234,0.994443,0.00473565,0.000820799
id16884,0.654312,0.244,0.101687
id07831,0.197736,0.638499,0.163765
id16038,0.992297,0.00740172,0.000301351
id03629,0.942507,0.0178456,0.0396473
id21019,0.912181,0.0637104,0.0241089
id21835,0.417695,0.0473381,0.534966
id04480,0.0105165,0.989079,0.00040471
id20838,0.85405,0.12535,0.0206002
id24195,0.716377,0.145087,0.138536
id05448,0.653629,0.121494,0.224878
id15957,0.00870853,0.990556,0.000735666
id19956,0.00827719,0.000193833,0.991529
id15104,0.0537751,0.0208938,0.925331
id17559,0.876943,0.058592,0.0644653
id16839,0.522868,0.151367,0.325765
id14493,0.746014,0.00478415,0.249202
id08833,0.908247,0.00702249,0.0847302
id15723,0.0369132,0.00310425,0.959983
id02716,0.980588,0.00731143,0.012101
id06689,0.0250282,0.971926,0.00304613
id18837,0.470675,0.0515441,0.477781
id04466,0.931435,0.0370364,0.031529
id00686,0.820376,0.0976465,0.0819778
id09010,0.412926,0.578904,0.00816971
id23353,0.967671,0.00212291,0.0302066
id00066,0.68222,0.310831,0.00694916
id15724,0.3618,0.603283,0.0349176
id23486,0.0913139,0.00366324,0.905023
id22258,0.00489287,0.0135769,0.98153
id02292,0.80172,0.0453956,0.152885
id16356,0.420718,0.027252,0.55203
id00235,0.698659,0.0334404,0.2679
id25522,0.142338,0.0204811,0.837181
