id,EAP,HPL,MWS
id02310,0.111392,0.0329567,0.855652
id24541,0.907823,0.080753,0.0114239
id00134,0.133436,0.837442,0.0291219
id27757,0.885422,0.0854779,0.0291004
id04081,0.899171,0.0352858,0.0655433
id27337,0.216042,0.778132,0.0058263
id24265,0.959744,0.0325517,0.00770471
id25917,0.150723,0.101026,0.748252
id04951,0.981158,0.0184784,0.000364013
id14549,0.92332,0.0410689,0.0356114
id22505,0.0373966,0.858587,0.104016
id24002,0.000561034,0.997727,0.00171208
id18982,0.071049,0.564197,0.364754
id15181,0.0519637,0.942023,0.0060129
id21888,0.911877,0.0307986,0.0573242
id12035,0.00575538,0.000145307,0.994099
id17991,0.189814,0.0037845,0.806401
id10707,0.999938,3.91576e-05,2.24437e-05
id07101,0.123733,0.334003,0.542264
id00345,0.544418,0.443545,0.0120373
id05912,0.925791,0.010305,0.0639043
id13443,0.915736,0.0485305,0.0357339
id09248,0.625187,0.0617234,0.31309
id17542,0.012733,0.981199,0.0060677
id06995,0.131632,0.0255638,0.842805
id25159,0.749965,0.00520097,0.244834
id25729,0.686208,0.204071,0.109721
id26949,0.981397,0.00924955,0.00935364
id27191,0.110316,0.0130452,0.876639
id07668,0.152862,0.00971274,0.837425
id02230,0.0644182,0.22941,0.706172
id15553,0.989037,0.00518878,0.00577413
id25688,0.00148025,0.990908,0.00761164
id17545,0.984707,0.0103047,0.00498863
id13929,0.658393,0.118432,0.223175
id12880,0.596919,0.184861,0.21822
id19282,0.790853,0.140599,0.0685481
id14690,0.000873333,0.000238932,0.998888
id17975,0.0966342,0.87867,0.024696
id08037,0.847646,0.00749683,0.144857
id15412,0.646966,0.00151675,0.351517
id25032,0.457691,0.01848,0.523829
id27165,0.999102,0.000500575,0.000397074
id03327,0.867731,0.0699727,0.0622963
id18515,0.96296,0.00388406,0.0331559
id21003,0.292347,0.112405,0.595247
id23855,0.000555627,0.995873,0.00357186
id20724,0.913525,0.00905319,0.0774221
id13303,0.742505,0.0371825,0.220313
id16521,0.00804284,0.578361,0.413596
id20775,0.974222,0.0158779,0.0099003
id13029,0.99598,0.00288538,0.00113446
id14660,0.826378,0.158347,0.0152748
id11028,0.00299156,3.75019e-05,0.996971
id14180,0.990136,0.00812996,0.00173373
id25860,0.995497,0.00282613,0.00167725
id11910,0.814684,0.00980759,0.175509
id08065,0.0874884,0.0115643,0.900947
id22674,0.0473874,0.0322605,0.920352
id25018,0.540057,0.00924953,0.450693
id10892,0.194071,0.782468,0.0234606
id10217,0.0670678,0.920727,0.0122054
id12996,0.0741821,0.0160997,0.909718
id18262,0.647764,0.100052,0.252184
id08606,0.119029,0.780601,0.10037
id17233,0.994552,0.00116988,0.0042785
id00101,0.771206,0.164537,0.064257
id12225,0.977781,0.00990482,0.0123136
id01364,0.0545937,0.940177,0.00522936
id24973,0.755515,0.00349866,0.240986
id25363,0.511664,0.00513514,0.483201
id10061,0.591023,0.0590059,0.349971
id17673,0.486558,0.35947,0.153972
id13249,0.129338,0.0243409,0.846321
id10107,0.00141591,0.000162783,0.998421
id04403,0.946806,0.010817,0.0423767
id25728,0.921885,0.019707,0.0584081
id16184,0.212174,0.170231,0.617595
id03438,0.0104916,0.000100233,0.989408
id22923,0.0106995,0.987891,0.00140968
id08610,0.9866,0.000502871,0.0128971
id25355,0.0513906,0.0529886,0.895621
id16916,0.736368,0.24654,0.0170922
id12793,0.0363753,0.936437,0.0271873
id11859,0.365402,0.0102686,0.624329
id02434,0.998081,0.00170233,0.0002163
id27703,0.0500388,0.00370336,0.946258
id25212,0.0752408,0.903199,0.02156
id11308,0.01424,0.15512,0.83064
id26094,0.879934,0.0780717,0.0419947
id22080,0.99344,0.00645459,0.000105212
id03545,0.99193,0.00414742,0.00392236
id23725,0.0274489,0.0156972,0.956854
id12009,0.943331,0.0100591,0.0466103
id24241,0.335728,0.399914,0.264358
id03596,0.0292075,0.955089,0.0157036
id10749,0.109663,0.853222,0.0371156
id22794,0.00379274,0.00209211,0.994115
id15482,0.495843,0.124653,0.379504
id04833,0.658236,0.292413,0.0493514
id00397,0.191121,0.00973674,0.799143
id14691,0.157929,0.154741,0.68733
id05193,0.0267305,0.00325394,0.970016
id19541,0.919677,0.0511383,0.029185
id22166,0.00739116,0.00542554,0.987183
id20744,0.0259533,0.00390642,0.97014
id10392,0.0344293,0.0282595,0.937311
id00770,0.943895,0.029082,0.0270234
id06018,0.92488,0.018241,0.0568791
id15678,0.700954,0.0116297,0.287416
id08305,0.99705,0.0026035,0.000346163
id08903,0.194667,0.00459095,0.800742
id14752,0.390471,0.572721,0.0368078
id12468,0.0269703,0.971002,0.00202797
id05085,0.733741,0.233913,0.0323456
id21993,0.154333,0.00762739,0.838039
id15503,0.931372,0.0599812,0.00864675
id03021,0.000401981,0.996215,0.00338295
id16123,0.995869,0.000514688,0.00361657
id19383,0.997586,0.00174628,0.000667285
id04186,0.9968,0.000891148,0.00230926
id17954,0.0215258,0.00291308,0.975561
id12030,0.368089,0.00170079,0.63021
id13020,0.830141,0.150039,0.0198196
id25327,0.0157184,0.841188,0.143094
id16344,0.0298823,0.143161,0.826957
id12303,0.187176,0.797965,0.0148588
id15017,0.963625,0.0278521,0.0085233
id22308,0.271976,0.0413246,0.686699
id06536,0.0609387,0.528651,0.41041
id19797,0.0198741,0.929536,0.0505903
id06332,0.342817,0.558312,0.0988712
id22941,0.193858,0.322857,0.483285
id13547,0.011313,0.0970874,0.8916
id06928,0.110818,0.00185799,0.887324
id12521,0.0446335,0.948101,0.00726576
id25716,0.686752,0.000554775,0.312693
id27116,5.12572e-07,1.19165e-08,1.0
id19941,0.0233716,0.968464,0.00816474
id05711,0.000173017,0.000379933,0.999447
id02097,0.0039073,0.0272176,0.968875
id03563,0.0405405,0.949163,0.0102961
id02295,0.484913,0.50696,0.00812666
id08179,0.862384,0.0397788,0.0978368
id05332,0.00346913,0.992812,0.00371867
id15697,0.484474,0.322065,0.193462
id17026,0.724505,0.0578824,0.217613
id04243,0.31018,0.684207,0.00561291
id13175,0.998521,0.00036402,0.00111469
id05387,0.897977,0.0431434,0.0588793
id19989,0.827141,0.160742,0.0121166
id25173,0.120658,0.0981778,0.781164
id08925,0.00372137,0.995701,0.000577431
id03034,0.00927552,0.946017,0.044707
id13272,0.0055838,0.984409,0.0100076
id07956,0.957054,0.00210837,0.0408376
id02648,1.32472e-05,1.44522e-05,0.999972
id01778,0.0321957,0.00146217,0.966342
id12846,0.00725139,0.0028889,0.98986
id19001,0.849014,0.0113068,0.139679
id05763,0.809344,0.0115486,0.179108
id15590,0.00159942,0.000682204,0.997718
id04912,0.739874,0.138509,0.121618
id21201,0.805947,0.133787,0.0602663
id13215,0.99828,0.000117805,0.00160266
id15612,0.00476637,0.990262,0.00497135
id18501,0.0794261,0.0221996,0.898374
id07223,0.767678,0.178865,0.0534573
id06707,0.23296,0.468029,0.299011
id05238,0.00134183,0.998561,9.74659e-05
id00935,0.0575164,0.515307,0.427177
id00110,0.442601,0.27493,0.282468
id17476,0.911397,0.0584635,0.0301391
id15170,0.975871,0.0180186,0.00611013
id13397,0.693839,0.0406689,0.265492
id24283,0.761775,0.124498,0.113727
id15234,0.988525,0.00962251,0.0018522
id16884,0.611906,0.249018,0.139076
id07831,0.225996,0.664497,0.109507
id16038,0.995617,0.00423418,0.000148747
id03629,0.969578,0.0187421,0.0116796
id21019,0.93447,0.0419931,0.0235368
id21835,0.797021,0.0178266,0.185152
id04480,0.0350407,0.96381,0.00114969
id20838,0.870111,0.116105,0.0137844
id24195,0.850508,0.0454456,0.104046
id05448,0.877722,0.0663889,0.0558887
id15957,0.00344126,0.991961,0.00459735
id19956,0.0179991,0.000115547,0.981885
id15104,0.0245229,0.0726122,0.902865
id17559,0.879584,0.066403,0.054013
id16839,0.268367,0.0760245,0.655609
id14493,0.790606,0.00887198,0.200522
id08833,0.609836,0.00504896,0.385115
id15723,0.0520038,0.007367,0.940629
id02716,0.959829,0.0128586,0.0273124
id06689,0.013146,0.980287,0.00656702
id18837,0.256697,0.0135754,0.729728
id04466,0.909235,0.0563602,0.0344051
id00686,0.790909,0.0849895,0.124101
id09010,0.498641,0.49029,0.0110692
id23353,0.994426,0.000558047,0.00501595
id00066,0.738545,0.250319,0.0111365
id15724,0.142624,0.845699,0.0116777
id23486,0.130089,0.00136258,0.868548
id22258,0.022661,0.0263624,0.950977
id02292,0.570914,0.17367,0.255417
id16356,0.309242,0.0109849,0.679773
id00235,0.82856,0.016589,0.154851
id25522,0.0558754,0.00697103,0.937154
id04204,0.000432525,0.999348,0.000219836
id22016,0.345616,0.0131114,0.641273
id06480,0.263738,0.702756,0.0335059
id08718,0.00391722,0.000181378,0.995901
id05251,0.0139407,0.977071,0.00898843
id03359,0.816214,0.085537,0.0982492
id16117,0.0209407,0.00118048,0.977879
id17000,0.00232637,0.994572,0.00310183
id01730,0.116777,0.870603,0.0126192
id00630,0.958261,0.0383472,0.00339131
id18175,0.013841,0.0291444,0.957015
id00907,0.567307,0.132198,0.300495
id18251,0.00877849,0.984542,0.00667984
id25861,0.377051,0.492358,0.130591
id00398,0.864446,0.0759782,0.0595759
id27573,0.978337,0.000411438,0.0212514
id10022,0.0226232,0.918436,0.0589412
